zhWords_id,zhWords_word,ziIndex,pinyin,zi
1,中国,0,zhong,中
1,中国,1,guo,国
2,公司,0,gong,公
2,公司,1,si,司
3,市场,0,shi,市
3,市场,1,chang,场
4,记者,0,ji,记
4,记者,1,zhe,者
5,我们,0,wo,我
5,我们,1,men,们
6,没有,0,mei,没
6,没有,1,you,有
7,一个,0,yi,一
7,一个,1,ge,个
8,可以,0,ke,可
8,可以,1,yi,以
9,表示,0,biao,表
9,表示,1,shi,示
10,企业,0,qi,企
10,企业,1,ye,业
11,美国,0,mei,美
11,美国,1,guo,国
12,问题,0,wen,问
12,问题,1,ti,题
13,经济,0,jing,经
13,经济,1,ji,济
14,自己,0,zi,自
14,自己,1,ji,己
15,目前,0,mu,目
15,目前,1,qian,前
16,进行,0,jin,进
16,进行,1,xing,行
17,已经,0,yi,已
17,已经,1,jing,经
18,可能,0,ke,可
18,可能,1,neng,能
19,发展,0,fa,发
19,发展,1,zhan,展
20,投资,0,tou,投
20,投资,1,zi,资
21,基金,0,ji,基
21,基金,1,jin,金
22,这个,0,zhe,这
22,这个,1,ge,个
23,工作,0,gong,工
23,工作,1,zuo,作
24,产品,0,chan,产
24,产品,1,pin,品
25,银行,0,yin,银
25,银行,1,hang,行
26,如果,0,ru,如
26,如果,1,guo,果
27,认为,0,ren,认
27,认为,1,wei,为
28,国家,0,guo,国
28,国家,1,jia,家
29,政府,0,zheng,政
29,政府,1,fu,府
30,时间,0,shi,时
30,时间,1,jian,间
31,他们,0,ta,他
31,他们,1,men,们
32,价格,0,jia,价
32,价格,1,ge,格
33,增长,0,zeng,增
33,增长,1,zhang,长
34,今年,0,jin,今
34,今年,1,nian,年
35,因为,0,yin,因
35,因为,1,wei,为
36,美元,0,mei,美
36,美元,1,yuan,元
37,通过,0,tong,通
37,通过,1,guo,过
38,情况,0,qing,情
38,情况,1,kuang,况
39,出现,0,chu,出
39,出现,1,xian,现
40,一些,0,yi,一
40,一些,1,xie,些
41,北京,0,bei,北
41,北京,1,jing,京
42,开始,0,kai,开
42,开始,1,shi,始
43,主要,0,zhu,主
43,主要,1,yao,要
44,现在,0,xian,现
44,现在,1,zai,在
45,这些,0,zhe,这
45,这些,1,xie,些
46,管理,0,guan,管
46,管理,1,li,理
47,影响,0,ying,影
47,影响,1,xiang,响
48,需要,0,xu,需
48,需要,1,yao,要
49,但是,0,dan,但
49,但是,1,shi,是
50,人员,0,ren,人
50,人员,1,yuan,员
51,行业,0,hang,行
51,行业,1,ye,业
52,政策,0,zheng,政
52,政策,1,ce,策
53,同时,0,tong,同
53,同时,1,shi,时
54,什么,0,shen,什
54,什么,1,me,么
55,其中,0,qi,其
55,其中,1,zhong,中
56,方面,0,fang,方
56,方面,1,mian,面
57,对于,0,dui,对
57,对于,1,yu,于
58,国际,0,guo,国
58,国际,1,ji,际
59,相关,0,xiang,相
59,相关,1,guan,关
60,项目,0,xiang,项
60,项目,1,mu,目
61,显示,0,xian,显
61,显示,1,shi,示
62,这样,0,zhe,这
62,这样,1,yang,样
63,服务,0,fu,服
63,服务,1,wu,务
64,报道,0,bao,报
64,报道,1,dao,道
65,第一,0,di,第
65,第一,1,yi,一
66,成为,0,cheng,成
66,成为,1,wei,为
67,机构,0,ji,机
67,机构,1,gou,构
68,发现,0,fa,发
68,发现,1,xian,现
69,数据,0,shu,数
69,数据,1,ju,据
70,社会,0,she,社
70,社会,1,hui,会
71,以及,0,yi,以
71,以及,1,ji,及
72,资金,0,zi,资
72,资金,1,jin,金
73,发生,0,fa,发
73,发生,1,sheng,生
74,引用,0,yin,引
74,引用,1,yong,用
75,部门,0,bu,部
75,部门,1,men,门
76,信息,0,xin,信
76,信息,1,xi,息
77,要求,0,yao,要
77,要求,1,qiu,求
78,日本,0,ri,日
78,日本,1,ben,本
79,很多,0,hen,很
79,很多,1,duo,多
80,安全,0,an,安
80,安全,1,quan,全
81,由于,0,you,由
81,由于,1,yu,于
82,其他,0,qi,其
82,其他,1,ta,他
83,提供,0,ti,提
83,提供,1,gong,供
84,业务,0,ye,业
84,业务,1,wu,务
85,还是,0,hai,还
85,还是,1,shi,是
86,所以,0,suo,所
86,所以,1,yi,以
87,时候,0,shi,时
87,时候,1,hou,候
88,上市,0,shang,上
88,上市,1,shi,市
89,来自,0,lai,来
89,来自,1,zi,自
90,部分,0,bu,部
90,部分,1,fen,分
91,地区,0,di,地
91,地区,1,qu,区
92,研究,0,yan,研
92,研究,1,jiu,究
93,金融,0,jin,金
93,金融,1,rong,融
94,包括,0,bao,包
94,包括,1,kuo,括
95,调查,0,diao,调
95,调查,1,cha,查
96,证券,0,zheng,证
96,证券,1,quan,券
97,技术,0,ji,技
97,技术,1,shu,术
98,集团,0,ji,集
98,集团,1,tuan,团
99,去年,0,qu,去
99,去年,1,nian,年
100,重要,0,zhong,重
100,重要,1,yao,要
101,建设,0,jian,建
101,建设,1,she,设
102,上海,0,shang,上
102,上海,1,hai,海
103,不过,0,bu,不
103,不过,1,guo,过
104,作为,0,zuo,作
104,作为,1,wei,为
105,交易,0,jiao,交
105,交易,1,yi,易
106,应该,0,ying,应
106,应该,1,gai,该
107,城市,0,cheng,城
107,城市,1,shi,市
108,使用,0,shi,使
108,使用,1,yong,用
109,销售,0,xiao,销
109,销售,1,shou,售
110,超过,0,chao,超
110,超过,1,guo,过
111,世界,0,shi,世
111,世界,1,jie,界
112,国内,0,guo,国
112,国内,1,nei,内
113,根据,0,gen,根
113,根据,1,ju,据
114,中心,0,zhong,中
114,中心,1,xin,心
115,增加,0,zeng,增
115,增加,1,jia,加
116,媒体,0,mei,媒
116,媒体,1,ti,体
117,继续,0,ji,继
117,继续,1,xu,续
118,网络,0,wang,网
118,网络,1,luo,络
119,生活,0,sheng,生
119,生活,1,huo,活
120,方式,0,fang,方
120,方式,1,shi,式
121,收入,0,shou,收
121,收入,1,ru,入
122,未来,0,wei,未
122,未来,1,lai,来
123,知道,0,zhi,知
123,知道,1,dao,道
124,存在,0,cun,存
124,存在,1,zai,在
125,了解,0,liao,了
125,了解,1,jie,解
126,消息,0,xiao,消
126,消息,1,xi,息
127,风险,0,feng,风
127,风险,1,xian,险
128,比较,0,bi,比
128,比较,1,jiao,较
129,活动,0,huo,活
129,活动,1,dong,动
130,一定,0,yi,一
130,一定,1,ding,定
131,之后,0,zhi,之
131,之后,1,hou,后
132,计划,0,ji,计
132,计划,1,hua,划
133,这种,0,zhe,这
133,这种,1,zhong,种
134,非常,0,fei,非
134,非常,1,chang,常
135,投资者,0,tou,投
135,投资者,1,zi,资
135,投资者,2,zhe,者
136,发布,0,fa,发
136,发布,1,bu,布
137,改革,0,gai,改
137,改革,1,ge,革
138,实现,0,shi,实
138,实现,1,xian,现
139,因此,0,yin,因
139,因此,1,ci,此
140,达到,0,da,达
140,达到,1,dao,到
141,以来,0,yi,以
141,以来,1,lai,来
142,网站,0,wang,网
142,网站,1,zhan,站
143,一直,0,yi,一
143,一直,1,zhi,直
144,人士,0,ren,人
144,人士,1,shi,士
145,生产,0,sheng,生
145,生产,1,chan,产
146,全国,0,quan,全
146,全国,1,guo,国
147,地方,0,di,地
147,地方,1,fang,方
148,关系,0,guan,关
148,关系,1,xi,系
149,有关,0,you,有
149,有关,1,guan,关
150,虽然,0,sui,虽
150,虽然,1,ran,然
151,希望,0,xi,希
151,希望,1,wang,望
152,合作,0,he,合
152,合作,1,zuo,作
153,规定,0,gui,规
153,规定,1,ding,定
154,上涨,0,shang,上
154,上涨,1,zhang,涨
155,系统,0,xi,系
155,系统,1,tong,统
156,全球,0,quan,全
156,全球,1,qiu,球
157,或者,0,huo,或
157,或者,1,zhe,者
158,组织,0,zu,组
158,组织,1,zhi,织
159,进入,0,jin,进
159,进入,1,ru,入
160,用户,0,yong,用
160,用户,1,hu,户
161,原因,0,yuan,原
161,原因,1,yin,因
162,不同,0,bu,不
162,不同,1,tong,同
163,报告,0,bao,报
163,报告,1,gao,告
164,标准,0,biao,标
164,标准,1,zhun,准
165,第二,0,di,第
165,第二,1,er,二
166,以上,0,yi,以
166,以上,1,shang,上
167,看到,0,kan,看
167,看到,1,dao,到
168,而且,0,er,而
168,而且,1,qie,且
169,能力,0,neng,能
169,能力,1,li,力
170,介绍,0,jie,介
170,介绍,1,shao,绍
171,选择,0,xuan,选
171,选择,1,ze,择
172,觉得,0,jue,觉
172,觉得,1,de,得
173,关注,0,guan,关
173,关注,1,zhu,注
174,那么,0,na,那
174,那么,1,me,么
175,造成,0,zao,造
175,造成,1,cheng,成
176,获得,0,huo,获
176,获得,1,de,得
177,导致,0,dao,导
177,导致,1,zhi,致
178,接受,0,jie,接
178,接受,1,shou,受
179,产业,0,chan,产
179,产业,1,ye,业
180,环境,0,huan,环
180,环境,1,jing,境
181,资产,0,zi,资
181,资产,1,chan,产
182,所有,0,suo,所
182,所有,1,you,有
183,提高,0,ti,提
183,提高,1,gao,高
184,行为,0,xing,行
184,行为,1,wei,为
185,指出,0,zhi,指
185,指出,1,chu,出
186,事件,0,shi,事
186,事件,1,jian,件
187,支持,0,zhi,支
187,支持,1,chi,持
188,持续,0,chi,持
188,持续,1,xu,续
189,分析,0,fen,分
189,分析,1,xi,析
190,规模,0,gui,规
190,规模,1,mo,模
191,手机,0,shou,手
191,手机,1,ji,机
192,医院,0,yi,医
192,医院,1,yuan,院
193,为了,0,wei,为
193,为了,1,le,了
194,下降,0,xia,下
194,下降,1,jiang,降
195,左右,0,zuo,左
195,左右,1,you,右
196,甚至,0,shen,甚
196,甚至,1,zhi,至
197,指数,0,zhi,指
197,指数,1,shu,数
198,专家,0,zhuan,专
198,专家,1,jia,家
199,公布,0,gong,公
199,公布,1,bu,布
200,还有,0,hai,还
200,还有,1,you,有
201,结果,0,jie,结
201,结果,1,guo,果
202,过程,0,guo,过
202,过程,1,cheng,程
203,调整,0,tiao,调
203,调整,1,zheng,整
204,告诉,0,gao,告
204,告诉,1,su,诉
205,进一步,0,jin,进
205,进一步,1,yi,一
205,进一步,2,bu,步
206,是否,0,shi,是
206,是否,1,fou,否
207,同比,0,tong,同
207,同比,1,bi,比
208,需求,0,xu,需
